slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6782035](https://beaconcha.in/slot/6782035),0,Unknown,0,,,,2023-07-01 10:47:23,19
[6782038](https://beaconcha.in/slot/6782038),0,Unknown,0,,,,2023-07-01 10:47:59,22
[6782061](https://beaconcha.in/slot/6782061),0,Unknown,0,,,,2023-07-01 10:52:35,13
[6782069](https://beaconcha.in/slot/6782069),0,Unknown,0,,,,2023-07-01 10:54:11,21
[6782237](https://beaconcha.in/slot/6782237),0,Teku,274286,,,,2023-07-01 11:27:47,29
[6782275](https://beaconcha.in/slot/6782275),0,Prysm,486431,,,,2023-07-01 11:35:23,3
[6782342](https://beaconcha.in/slot/6782342),0,Unknown,0,,,,2023-07-01 11:48:47,6
[6782369](https://beaconcha.in/slot/6782369),0,Prysm,624983,,,,2023-07-01 11:54:11,1
[6782500](https://beaconcha.in/slot/6782500),0,Unknown,0,,,,2023-07-01 12:20:23,4
[6782556](https://beaconcha.in/slot/6782556),0,Unknown,0,,,,2023-07-01 12:31:35,28
[6782561](https://beaconcha.in/slot/6782561),0,Lighthouse,659214,,,,2023-07-01 12:32:35,1
[6782595](https://beaconcha.in/slot/6782595),0,Unknown,0,,,,2023-07-01 12:39:23,3
[6782665](https://beaconcha.in/slot/6782665),0,Unknown,0,,,,2023-07-01 12:53:23,9
[6782753](https://beaconcha.in/slot/6782753),0,Prysm,475100,,,,2023-07-01 13:10:59,1
[6782816](https://beaconcha.in/slot/6782816),0,Unknown,0,,,,2023-07-01 13:23:35,0
[6782862](https://beaconcha.in/slot/6782862),0,Lighthouse,35940,,,,2023-07-01 13:32:47,14
[6783091](https://beaconcha.in/slot/6783091),0,Teku,6296,,,,2023-07-01 14:18:35,19
[6783105](https://beaconcha.in/slot/6783105),0,Unknown,0,,,,2023-07-01 14:21:23,1
[6783198](https://beaconcha.in/slot/6783198),0,Unknown,0,,,,2023-07-01 14:39:59,30
[6783444](https://beaconcha.in/slot/6783444),0,Unknown,0,,,,2023-07-01 15:29:11,20
[6783539](https://beaconcha.in/slot/6783539),0,Prysm,431240,,,,2023-07-01 15:48:11,19
[6783555](https://beaconcha.in/slot/6783555),0,Unknown,0,,,,2023-07-01 15:51:23,3
