slot,validator_id,validator,builder,relay,cl_client,date,slot_in_epoch
[6411617](https://beaconcha.in/slot/6411617),264812,0xa28dd7e1bdf47f339a55b225e55b37be31eb067dc8aea5dcdc4397a39038636adb1eb29ee68b1fc3238623e4ee9c70c0,,,Lighthouse,2023-05-11 00:03:47,1
[6412117](https://beaconcha.in/slot/6412117),351560,coinbase,,,Prysm,2023-05-11 01:43:47,21
[6412993](https://beaconcha.in/slot/6412993),150456,lido,,,Teku,2023-05-11 04:38:59,1
[6413404](https://beaconcha.in/slot/6413404),188574,0xb1a0e2782b72d094e24b24dac0f88cd51bcf742a173f14bd0a6946787b6d8dbd546291ddfca496b6905e1a6ae827e751,Blocknative,blocknative,Lighthouse,2023-05-11 06:01:11,28
[6413601](https://beaconcha.in/slot/6413601),116145,lido,,,Prysm,2023-05-11 06:40:35,1
[6413861](https://beaconcha.in/slot/6413861),207410,0x966122c6b75ba3f2c9aa7be93d9ef7d39d090b13c640745bb6290c90fa91af0eab0eb9c65e8b7f819a0b6f360386232f,,,Prysm,2023-05-11 07:32:35,5
[6416797](https://beaconcha.in/slot/6416797),134123,0x87a2e456abf839e71238c6a0d8d184b4ac172bf61233c9de106f33f34618362305fe7d72aefd922c2f0488dca2c1a81e,,,Lighthouse,2023-05-11 17:19:47,29
[6416923](https://beaconcha.in/slot/6416923),580548,lido,rsync-builder.xyz,blocknative,Nimbus,2023-05-11 17:44:59,27
[6417058](https://beaconcha.in/slot/6417058),458959,lido,rsync-builder.xyz,blocknative,Lighthouse,2023-05-11 18:11:59,2
[6417741](https://beaconcha.in/slot/6417741),198210,missed,,,,2023-05-11 20:28:35,13
[6420289](https://beaconcha.in/slot/6420289),445261,kraken,,,Prysm,2023-05-12 04:58:11,1
[6420448](https://beaconcha.in/slot/6420448),316533,coinbase,,,Prysm,2023-05-12 05:29:59,0
[6421839](https://beaconcha.in/slot/6421839),208692,binance,,,Prysm,2023-05-12 10:08:11,15
[6422209](https://beaconcha.in/slot/6422209),312267,lido,,,Lighthouse,2023-05-12 11:22:11,1
[6422593](https://beaconcha.in/slot/6422593),354042,bitcoin suisse,Blocknative,blocknative,Teku,2023-05-12 12:38:59,1
[6422945](https://beaconcha.in/slot/6422945),620068,0xb0f64150c751ddaf7ec88e7c331cee5bbe95b100c45f143911ad43c6da29ad3c1a7845610550fcd75e0d062c7027b9f6,,,Lighthouse,2023-05-12 13:49:23,1
[6424059](https://beaconcha.in/slot/6424059),332380,missed,,,,2023-05-12 17:32:11,27
[6424132](https://beaconcha.in/slot/6424132),135044,binance,,,Prysm,2023-05-12 17:46:47,4
[6424194](https://beaconcha.in/slot/6424194),119039,lido,,,Lighthouse,2023-05-12 17:59:11,2
[6424263](https://beaconcha.in/slot/6424263),294162,missed,,,,2023-05-12 18:12:59,7
[6424300](https://beaconcha.in/slot/6424300),336148,lido,Blocknative,blocknative,Nimbus,2023-05-12 18:20:23,12
[6424327](https://beaconcha.in/slot/6424327),571387,lido,,,Lighthouse,2023-05-12 18:25:47,7
[6424458](https://beaconcha.in/slot/6424458),457111,lido,Blocknative,blocknative,Prysm,2023-05-12 18:51:59,10
[6424769](https://beaconcha.in/slot/6424769),448114,coinbase,,,Prysm,2023-05-12 19:54:11,1
[6425605](https://beaconcha.in/slot/6425605),68025,lido,,,Lighthouse,2023-05-12 22:41:23,5
[6428161](https://beaconcha.in/slot/6428161),598164,figment,,,Lighthouse,2023-05-13 07:12:35,1
[6430817](https://beaconcha.in/slot/6430817),84026,,rsync-builder.xyz,bloxroute (regulated),Lighthouse,2023-05-13 16:03:47,1
[6430817](https://beaconcha.in/slot/6430817),84026,lido,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-13 16:03:47,1
